#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.43865
1    1    0.37827 
1    2    0.05965 
1    3    0.10338 
1    4    -0.00005 
1    5    0.37826 
1    6    -0.05965 
1    7    0.10337 
1    8    -0.00001 
1    9    0.37814 
1    10    -0.11934 
1    11    -0.00009 
1    12    -0.00008 
1    13    0.37809 
1    14    -0.05972 
1    15    -0.10331 
1    16    0.00006 
1    17    0.37819 
1    18    0.05967 
1    19    -0.10335 
1    20    0.00011 
1    21    0.37825 
1    22    0.11935 
1    23    -0.00005 
1    24    -0.00002 
1    25    0.09693 
1    26    0.09692 
1    27    0.09688 
1    28    0.09686 
1    29    0.09688 
1    30    0.09692 
MO:2   -1.15288
2    1    0.12066 
2    2    0.18001 
2    3    -0.09744 
2    4    0.00008 
2    5    0.48433 
2    6    0.03956 
2    7    0.04889 
2    8    0.00007 
2    9    0.36356 
2    10    -0.01699 
2    11    -0.14618 
2    12    0.00004 
2    13    -0.12100 
2    14    0.18003 
2    15    -0.09741 
2    16    0.00012 
2    17    -0.48422 
2    18    0.03934 
2    19    0.04880 
2    20    -0.00006 
2    21    -0.36338 
2    22    -0.01695 
2    23    -0.14598 
2    24    0.00013 
2    25    0.04428 
2    26    0.17767 
2    27    0.13334 
2    28    -0.04435 
2    29    -0.17761 
2    30    -0.13332 
MO:3   -1.15282
3    1    -0.48943 
3    2    0.03246 
3    3    -0.04505 
3    4    0.00004 
3    5    -0.13983 
3    6    0.17861 
3    7    0.09561 
3    8    -0.00003 
3    9    0.34929 
3    10    -0.01629 
3    11    0.15182 
3    12    -0.00012 
3    13    0.48945 
3    14    0.03218 
3    15    -0.04496 
3    16    0.00007 
3    17    0.14033 
3    18    0.17867 
3    19    0.09559 
3    20    -0.00001 
3    21    -0.34939 
3    22    -0.01626 
3    23    0.15207 
3    24    -0.00007 
3    25    -0.17957 
3    26    -0.05133 
3    27    0.12814 
3    28    0.17955 
3    29    0.05145 
3    30    -0.12818 
MO:4   -0.84749
4    1    0.37154 
4    2    0.03602 
4    3    -0.14994 
4    4    0.00007 
4    5    -0.07966 
4    6    -0.29950 
4    7    -0.14518 
4    8    -0.00003 
4    9    -0.29163 
4    10    -0.08778 
4    11    0.22583 
4    12    -0.00014 
4    13    0.37154 
4    14    -0.03585 
4    15    0.14981 
4    16    -0.00009 
4    17    -0.07991 
4    18    0.29956 
4    19    0.14516 
4    20    -0.00005 
4    21    -0.29180 
4    22    0.08785 
4    23    -0.22596 
4    24    0.00018 
4    25    0.21552 
4    26    -0.04616 
4    27    -0.16913 
4    28    0.21546 
4    29    -0.04640 
4    30    -0.16929 
MO:5   -0.84743
5    1    -0.12221 
5    2    0.29733 
5    3    -0.12916 
5    4    0.00008 
5    5    0.38289 
5    6    -0.00240 
5    7    -0.13453 
5    8    0.00012 
5    9    -0.26074 
5    10    -0.07850 
5    11    -0.25294 
5    12    0.00010 
5    13    -0.12252 
5    14    -0.29739 
5    15    0.12911 
5    16    -0.00023 
5    17    0.38289 
5    18    0.00216 
5    19    0.13435 
5    20    -0.00011 
5    21    -0.26043 
5    22    0.07845 
5    23    0.25287 
5    24    -0.00017 
5    25    -0.07088 
5    26    0.22213 
5    27    -0.15126 
5    28    -0.07114 
5    29    0.22207 
5    30    -0.15107 
MO:6   -0.65620
6    1    -0.04388 
6    2    0.16528 
6    3    0.28622 
6    4    -0.00018 
6    5    -0.04390 
6    6    -0.16527 
6    7    0.28621 
6    8    -0.00027 
6    9    -0.04389 
6    10    -0.33041 
6    11    0.00010 
6    12    -0.00021 
6    13    -0.04394 
6    14    -0.16514 
6    15    -0.28618 
6    16    0.00007 
6    17    -0.04391 
6    18    0.16516 
6    19    -0.28620 
6    20    0.00024 
6    21    -0.04388 
6    22    0.33049 
6    23    0.00001 
6    24    0.00002 
6    25    -0.23569 
6    26    -0.23569 
6    27    -0.23562 
6    28    -0.23564 
6    29    -0.23564 
6    30    -0.23568 
MO:7   -0.59250
7    1    0.23288 
7    2    -0.10236 
7    3    -0.17712 
7    4    0.00005 
7    5    -0.23288 
7    6    -0.10204 
7    7    0.17706 
7    8    -0.00015 
7    9    0.23288 
7    10    0.20456 
7    11    0.00000 
7    12    0.00014 
7    13    -0.23287 
7    14    -0.10248 
7    15    -0.17703 
7    16    0.00001 
7    17    0.23289 
7    18    -0.10212 
7    19    0.17704 
7    20    -0.00027 
7    21    -0.23287 
7    22    0.20453 
7    23    -0.00013 
7    24    -0.00007 
7    25    0.26580 
7    26    -0.26565 
7    27    0.26579 
7    28    -0.26578 
7    29    0.26565 
7    30    -0.26577 
MO:8   -0.56597
8    1    0.00009 
8    2    0.35357 
8    3    -0.20406 
8    4    0.00004 
8    5    -0.00005 
8    6    -0.35364 
8    7    -0.20401 
8    8    -0.00004 
8    9    0.00013 
8    10    0.00021 
8    11    0.40823 
8    12    -0.00017 
8    13    -0.00004 
8    14    0.35361 
8    15    -0.20406 
8    16    0.00036 
8    17    0.00005 
8    18    -0.35361 
8    19    -0.20409 
8    20    0.00013 
8    21    -0.00003 
8    22    0.00016 
8    23    0.40822 
8    24    -0.00032 
8    25    0.00003 
8    26    -0.00002 
8    27    0.00027 
8    28    0.00016 
8    29    0.00015 
8    30    -0.00008 
MO:9   -0.52042
9    1    0.00700 
9    2    0.12927 
9    3    -0.00460 
9    4    -0.00031 
9    5    0.04779 
9    6    -0.17305 
9    7    0.38763 
9    8    -0.00063 
9    9    0.04096 
9    10    -0.36126 
9    11    -0.07051 
9    12    -0.00055 
9    13    -0.00693 
9    14    0.12954 
9    15    -0.00420 
9    16    -0.00029 
9    17    -0.04779 
9    18    -0.17326 
9    19    0.38733 
9    20    -0.00068 
9    21    -0.04103 
9    22    -0.36096 
9    23    -0.07029 
9    24    -0.00026 
9    25    -0.04385 
9    26    -0.30577 
9    27    -0.26157 
9    28    0.04427 
9    29    0.30564 
9    30    0.26130 
MO:10   -0.52040
10    1    0.05130 
10    2    0.21251 
10    3    0.39943 
10    4    -0.00017 
10    5    0.01965 
10    6    -0.17874 
10    7    0.09668 
10    8    -0.00003 
10    9    -0.03162 
10    10    0.27875 
10    11    -0.09133 
10    12    0.00033 
10    13    -0.05130 
10    14    0.21276 
10    15    0.39930 
10    16    -0.00003 
10    17    -0.01958 
10    18    -0.17910 
10    19    0.09706 
10    20    -0.00005 
10    21    0.03157 
10    22    0.27904 
10    23    -0.09149 
10    24    0.00011 
10    25    -0.32740 
10    26    -0.12532 
10    27    0.20183 
10    28    0.32740 
10    29    0.12576 
10    30    -0.20210 
MO:11   -0.49177
11    1    0.00003 
11    2    0.00013 
11    3    0.00011 
11    4    0.40831 
11    5    -0.00012 
11    6    -0.00030 
11    7    0.00056 
11    8    0.40831 
11    9    0.00011 
11    10    -0.00059 
11    11    0.00013 
11    12    0.40819 
11    13    -0.00008 
11    14    -0.00020 
11    15    0.00017 
11    16    0.40814 
11    17    -0.00004 
11    18    -0.00016 
11    19    0.00064 
11    20    0.40825 
11    21    -0.00003 
11    22    -0.00036 
11    23    0.00028 
11    24    0.40830 
11    25    0.00003 
11    26    -0.00024 
11    27    -0.00023 
11    28    -0.00005 
11    29    0.00021 
11    30    0.00023 
MO:12   -0.43692
12    1    0.01445 
12    2    -0.28490 
12    3    -0.17026 
12    4    0.00014 
12    5    -0.00077 
12    6    0.29503 
12    7    0.18581 
12    8    -0.00002 
12    9    -0.01385 
12    10    -0.27589 
12    11    -0.18682 
12    12    -0.00017 
12    13    0.01450 
12    14    0.28466 
12    15    0.17008 
12    16    0.00009 
12    17    -0.00059 
12    18    -0.29472 
12    19    -0.18635 
12    20    0.00019 
12    21    -0.01376 
12    22    0.27621 
12    23    0.18693 
12    24    -0.00008 
12    25    0.28665 
12    26    -0.01342 
12    27    -0.27290 
12    28    0.28648 
12    29    -0.01372 
12    30    -0.27310 
MO:13   -0.43686
13    1    -0.00765 
13    2    -0.19202 
13    3    0.28545 
13    4    0.00002 
13    5    0.01631 
13    6    0.17604 
13    7    -0.27557 
13    8    0.00037 
13    9    -0.00866 
13    10    -0.17542 
13    11    0.29449 
13    12    -0.00022 
13    13    -0.00749 
13    14    0.19184 
13    15    -0.28594 
13    16    0.00021 
13    17    0.01633 
13    18    -0.17596 
13    19    0.27558 
13    20    -0.00038 
13    21    -0.00881 
13    22    0.17497 
13    23    -0.29438 
13    24    0.00023 
13    25    -0.14963 
13    26    0.32309 
13    27    -0.17340 
13    28    -0.14990 
13    29    0.32308 
13    30    -0.17315 
MO:14   -0.35477
14    1    -0.00001 
14    2    0.00006 
14    3    0.00004 
14    4    0.19496 
14    5    -0.00019 
14    6    -0.00022 
14    7    0.00038 
14    8    0.56821 
14    9    0.00004 
14    10    -0.00030 
14    11    0.00008 
14    12    0.37315 
14    13    0.00005 
14    14    0.00011 
14    15    -0.00003 
14    16    -0.19563 
14    17    0.00001 
14    18    0.00011 
14    19    -0.00059 
14    20    -0.56810 
14    21    -0.00004 
14    22    -0.00003 
14    23    -0.00017 
14    24    -0.37265 
14    25    0.00001 
14    26    0.00003 
14    27    -0.00006 
14    28    0.00011 
14    29    -0.00009 
14    30    0.00007 
MO:15   -0.35473
15    1    0.00005 
15    2    0.00011 
15    3    0.00024 
15    4    0.54339 
15    5    -0.00005 
15    6    -0.00009 
15    7    0.00008 
15    8    0.10213 
15    9    -0.00007 
15    10    0.00036 
15    11    -0.00022 
15    12    -0.44061 
15    13    0.00006 
15    14    0.00029 
15    15    -0.00030 
15    16    -0.54327 
15    17    0.00001 
15    18    0.00002 
15    19    -0.00013 
15    20    -0.10294 
15    21    0.00006 
15    22    -0.00000 
15    23    0.00039 
15    24    0.44094 
15    25    0.00000 
15    26    -0.00006 
15    27    0.00007 
15    28    -0.00002 
15    29    -0.00003 
15    30    -0.00001 
MO:16   0.02037
16    1    0.00006 
16    2    0.00004 
16    3    0.00028 
16    4    0.53673 
16    5    0.00005 
16    6    0.00010 
