#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -9.79375
1    1    -0.39929 
1    2    -0.02657 
1    3    -0.00183 
1    4    -0.00317 
1    5    0.00000 
1    6    0.40154 
1    7    0.02669 
1    8    -0.00180 
1    9    0.00319 
1    10    0.00000 
1    11    -0.40506 
1    12    -0.02689 
1    13    0.00369 
1    14    -0.00003 
1    15    0.00000 
1    16    0.40754 
1    17    0.02703 
1    18    -0.00186 
1    19    -0.00320 
1    20    0.00000 
1    21    -0.40748 
1    22    -0.02700 
1    23    -0.00188 
1    24    0.00318 
1    25    -0.00000 
1    26    0.40153 
1    27    0.02671 
1    28    0.00367 
1    29    0.00004 
1    30    -0.00000 
1    31    0.00394 
1    32    -0.00396 
1    33    0.00399 
1    34    -0.00401 
1    35    0.00401 
1    36    -0.00396 
MO:2   -9.79333
2    1    -0.31355 
2    2    -0.01728 
2    3    -0.00486 
2    4    0.00105 
2    5    -0.00000 
2    6    0.57167 
2    7    0.03147 
2    8    -0.00163 
2    9    0.00224 
2    10    0.00000 
2    11    -0.26163 
2    12    -0.01440 
2    13    0.00126 
2    14    0.00505 
2    15    -0.00000 
2    16    -0.30910 
2    17    -0.01699 
2    18    0.00488 
2    19    -0.00110 
2    20    0.00000 
2    21    0.57066 
2    22    0.03131 
2    23    0.00163 
2    24    -0.00219 
2    25    0.00000 
2    26    -0.25460 
2    27    -0.01402 
2    28    -0.00123 
2    29    -0.00507 
2    30    0.00000 
2    31    0.00298 
2    32    -0.00543 
2    33    0.00248 
2    34    0.00293 
2    35    -0.00541 
2    36    0.00242 
MO:3   -9.79333
3    1    -0.47984 
3    2    -0.02644 
3    3    0.00151 
3    4    -0.00355 
3    5    0.00000 
3    6    -0.02660 
3    7    -0.00148 
3    8    -0.00484 
3    9    -0.00294 
3    10    -0.00000 
3    11    0.50778 
3    12    0.02788 
3    13    -0.00242 
3    14    0.00258 
3    15    -0.00000 
3    16    -0.47780 
3    17    -0.02621 
3    18    -0.00155 
3    19    0.00352 
3    20    -0.00000 
3    21    -0.03496 
