#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.80452
1    1    0.98668 
1    2    0.05040 
1    3    -0.00001 
1    4    -0.00001 
1    5    -0.00242 
1    6    -0.00429 
MO:2   -0.09882
2    1    -0.18027 
2    2    0.61796 
2    3    0.00048 
2    4    0.00048 
2    5    0.19114 
2    6    0.66491 
MO:3   -0.05171
3    1    -0.22140 
3    2    0.76976 
3    3    -0.00122 
3    4    -0.00122 
3    5    -0.48487 
3    6    -0.45526 
MO:4   0.01518
4    1    0.00000 
4    2    -0.00000 
4    3    0.70719 
4    4    -0.70702 
4    5    -0.00000 
4    6    -0.00000 
MO:5   0.01518
5    1    0.00000 
5    2    -0.00000 
5    3    0.70702 
5    4    0.70719 
5    5    -0.00356 
5    6    -0.00000 
MO:6   0.07664
6    1    -0.08798 
6    2    0.32516 
6    3    0.00221 
6    4    0.00221 
6    5    0.87941 
6    6    -0.64449 
