#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.77365
1    1    0.98649 
1    2    0.05082 
1    3    0.00411 
1    4    -0.00003 
1    5    0.00132 
1    6    0.00038 
MO:2   -0.13626
2    1    -0.18207 
2    2    0.48556 
2    3    -0.28959 
2    4    0.00182 
2    5    -0.09334 
2    6    0.56014 
MO:3   -0.02729
3    1    -0.21797 
3    2    0.80031 
3    3    0.56377 
3    4    -0.00354 
3    5    0.18171 
3    6    -0.20800 
MO:4   0.03337
4    1    -0.00000 
4    2    0.00000 
4    3    -0.27876 
4    4    0.40090 
4    5    0.87268 
4    6    -0.00000 
MO:5   0.03337
5    1    -0.00000 
5    2    0.00000 
5    3    0.12819 
5    4    0.91610 
5    5    -0.37990 
5    6    -0.00000 
MO:6   0.32016
6    1    0.09957 
6    2    -0.66164 
6    3    0.94149 
6    4    -0.00590 
6    5    0.30345 
6    6    1.14497 
