#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.77436
1    1    0.98650 
1    2    0.05090 
1    3    -0.00155 
1    4    -0.00269 
1    5    0.00277 
1    6    -0.00011 
MO:2   -0.13538
2    1    -0.18106 
2    2    0.48787 
2    3    0.11247 
2    4    0.19578 
2    5    -0.20151 
2    6    0.56153 
MO:3   -0.02752
3    1    -0.21818 
3    2    0.79959 
3    3    -0.22000 
3    4    -0.38295 
3    5    0.39416 
3    6    -0.21048 
MO:4   0.03321
4    1    0.00000 
4    2    -0.00000 
4    3    0.78363 
4    4    -0.60319 
4    5    -0.14865 
4    6    0.00000 
MO:5   0.03321
5    1    -0.00000 
5    2    0.00001 
5    3    0.49780 
5    4    0.46654 
5    5    0.73112 
5    6    -0.00000 
MO:6   0.31496
6    1    0.10146 
6    2    -0.65393 
6    3    -0.36566 
6    4    -0.63651 
6    5    0.65514 
6    6    1.13463 
