#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -23.95349
1    1    -0.00013 
1    2    -0.00125 
1    3    0.00006 
1    4    0.00006 
1    5    -0.00009 
1    6    0.00246 
1    7    -0.00133 
1    8    -0.00132 
1    9    0.00185 
1    10    0.98064 
1    11    0.09922 
1    12    0.00015 
1    13    0.00015 
1    14    -0.00021 
1    15    -0.02815 
1    16    -0.00014 
1    17    -0.00014 
1    18    0.00019 
MO:2   -1.95087
2    1    0.98774 
2    2    0.08468 
2    3    0.00125 
2    4    0.00125 
2    5    -0.00175 
2    6    -0.03298 
2    7    -0.00051 
2    8    -0.00051 
2    9    0.00071 
2    10    -0.00003 
2    11    -0.00008 
2    12    0.00022 
2    13    0.00022 
2    14    -0.00031 
2    15    0.00081 
2    16    -0.00101 
2    17    -0.00101 
2    18    0.00142 
MO:3   -0.80836
3    1    -0.00375 
3    2    -0.00586 
3    3    -0.00332 
3    4    -0.00332 
3    5    0.00464 
3    6    0.02808 
3    7    -0.01485 
3    8    -0.01481 
3    9    0.02073 
3    10    -0.25633 
3    11    0.24413 
3    12    0.00497 
3    13    0.00495 
3    14    -0.00694 
3    15    0.81568 
3    16    0.00438 
3    17    0.00437 
3    18    -0.00611 
MO:4   -0.14575
4    1    0.08920 
4    2    -0.22758 
4    3    0.08755 
4    4    0.08731 
4    5    -0.12226 
4    6    -0.20617 
4    7    -0.02129 
4    8    -0.02123 
4    9    0.02973 
4    10    -0.01333 
4    11    0.01170 
4    12    -0.24176 
4    13    -0.24108 
4    14    0.33759 
4    15    0.06015 
4    16    -0.26658 
4    17    -0.26582 
4    18    0.37224 
MO:5   -0.11847
5    1    0.00000 
5    2    0.00000 
5    3    0.03352 
5    4    0.03376 
5    5    0.04811 
5    6    -0.00000 
5    7    0.08146 
5    8    0.08204 
5    9    0.11692 
5    10    -0.00000 
5    11    0.00000 
5    12    0.26339 
5    13    0.26525 
5    14    0.37804 
5    15    0.00000 
5    16    0.29315 
5    17    0.29522 
5    18    0.42075 
MO:6   -0.11847
6    1    0.00000 
6    2    -0.00000 
6    3    0.04790 
6    4    -0.04780 
6    5    0.00017 
6    6    -0.00000 
6    7    0.11639 
6    8    -0.11615 
6    9    0.00041 
6    10    0.00000 
6    11    -0.00000 
6    12    0.37631 
6    13    -0.37554 
6    14    0.00132 
6    15    -0.00000 
6    16    0.41883 
6    17    -0.41797 
6    18    0.00147 
MO:7   -0.10793
7    1    -0.18320 
7    2    0.34741 
7    3    0.11838 
7    4    0.11805 
7    5    -0.16531 
7    6    0.58849 
7    7    0.07429 
7    8    0.07408 
7    9    -0.10373 
7    10    0.00475 
7    11    -0.00466 
7    12    -0.09751 
7    13    -0.09723 
7    14    0.13616 
7    15    -0.02545 
7    16    -0.10777 
7    17    -0.10747 
7    18    0.15049 
MO:8   -0.04383
8    1    0.00000 
8    2    -0.00000 
8    3    0.26988 
8    4    0.27899 
8    5    0.39251 
8    6    -0.00000 
8    7    0.26715 
8    8    0.27618 
8    9    0.38854 
8    10    0.00000 
8    11    -0.00000 
8    12    -0.06300 
8    13    -0.06513 
8    14    -0.09163 
8    15    -0.00000 
8    16    -0.07235 
8    17    -0.07479 
8    18    -0.10522 
MO:9   -0.04383
9    1    -0.00000 
9    2    0.00000 
9    3    0.39324 
9    4    -0.38739 
9    5    0.00498 
9    6    0.00000 
9    7    0.38926 
9    8    -0.38347 
9    9    0.00493 
9    10    0.00000 
9    11    -0.00000 
9    12    -0.09180 
9    13    0.09044 
9    14    -0.00116 
9    15    -0.00000 
9    16    -0.10541 
9    17    0.10385 
9    18    -0.00133 
MO:10   -0.00400
10    1    -0.07043 
10    2    0.29111 
10    3    -0.20549 
10    4    -0.20490 
10    5    0.28694 
10    6    0.02096 
10    7    -0.32746 
10    8    -0.32653 
10    9    0.45725 
10    10    0.03575 
10    11    -0.02965 
10    12    -0.08012 
10    13    -0.07990 
10    14    0.11188 
10    15    -0.20352 
10    16    -0.09483 
10    17    -0.09457 
10    18    0.13243 
MO:11   0.06782
11    1    -0.07077 
11    2    1.07862 
11    3    0.42352 
11    4    0.42233 
11    5    -0.59145 
11    6    -1.06336 
11    7    -0.34553 
11    8    -0.34456 
11    9    0.48256 
11    10    -0.00408 
11    11    0.00527 
11    12    0.03217 
11    13    0.03208 
11    14    -0.04492 
11    15    0.01529 
11    16    0.04265 
11    17    0.04253 
11    18    -0.05956 
MO:12   0.07083
12    1    -0.00000 
12    2    0.00004 
12    3    0.52850 
12    4    0.56985 
12    5    0.78538 
12    6    -0.00004 
12    7    -0.52547 
12    8    -0.56658 
12    9    -0.78089 
12    10    -0.00000 
12    11    0.00000 
12    12    0.01607 
12    13    0.01733 
12    14    0.02388 
12    15    0.00000 
12    16    0.02106 
12    17    0.02270 
12    18    0.03129 
MO:13   0.07083
13    1    -0.00000 
13    2    0.00001 
13    3    0.79500 
13    4    -0.76705 
13    5    0.02157 
13    6    -0.00001 
13    7    -0.79045 
13    8    0.76266 
13    9    -0.02145 
13    10    -0.00000 
13    11    0.00000 
13    12    0.02418 
13    13    -0.02333 
13    14    0.00066 
13    15    0.00000 
13    16    0.03167 
13    17    -0.03056 
13    18    0.00086 
MO:14   0.10912
14    1    -0.07345 
14    2    1.09796 
14    3    -0.38507 
14    4    -0.38398 
14    5    0.53769 
14    6    -1.05725 
14    7    0.41555 
14    8    0.41438 
