#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -23.95333
1    1    -0.00012 
1    2    -0.00126 
1    3    0.00008 
1    4    0.00008 
1    5    -0.00011 
1    6    0.00246 
1    7    -0.00133 
1    8    -0.00133 
1    9    0.00186 
1    10    0.98064 
1    11    0.09921 
1    12    0.00015 
1    13    0.00015 
1    14    -0.00021 
1    15    -0.02815 
1    16    -0.00013 
1    17    -0.00013 
1    18    0.00019 
MO:2   -1.95126
2    1    0.98774 
2    2    0.08468 
2    3    0.00125 
2    4    0.00124 
2    5    -0.00174 
2    6    -0.03298 
2    7    -0.00050 
2    8    -0.00050 
2    9    0.00070 
2    10    -0.00004 
2    11    -0.00009 
2    12    0.00021 
2    13    0.00021 
2    14    -0.00030 
2    15    0.00086 
2    16    -0.00098 
2    17    -0.00098 
2    18    0.00137 
MO:3   -0.80826
3    1    -0.00369 
3    2    -0.00611 
3    3    -0.00317 
3    4    -0.00316 
3    5    0.00444 
3    6    0.02810 
3    7    -0.01488 
3    8    -0.01484 
3    9    0.02081 
3    10    -0.25634 
3    11    0.24412 
3    12    0.00493 
3    13    0.00492 
3    14    -0.00690 
3    15    0.81577 
3    16    0.00434 
3    17    0.00433 
3    18    -0.00607 
MO:4   -0.14557
4    1    0.08956 
4    2    -0.22687 
4    3    0.08659 
4    4    0.08634 
4    5    -0.12109 
4    6    -0.20931 
4    7    -0.02040 
4    8    -0.02035 
4    9    0.02853 
4    10    -0.01326 
4    11    0.01162 
4    12    -0.24143 
4    13    -0.24074 
4    14    0.33761 
4    15    0.05984 
4    16    -0.26631 
4    17    -0.26555 
4    18    0.37241 
MO:5   -0.11829
5    1    0.00000 
5    2    0.00000 
5    3    0.03199 
5    4    0.03431 
5    5    0.04734 
5    6    -0.00000 
5    7    0.07880 
5    8    0.08453 
5    9    0.11663 
5    10    -0.00000 
5    11    0.00000 
5    12    0.25524 
5    13    0.27379 
5    14    0.37775 
5    15    0.00000 
5    16    0.28410 
5    17    0.30476 
5    18    0.42048 
MO:6   -0.11829
6    1    0.00000 
6    2    0.00000 
6    3    0.04790 
6    4    -0.04633 
6    5    0.00122 
6    6    -0.00000 
6    7    0.11800 
6    8    -0.11413 
6    9    0.00300 
6    10    0.00000 
6    11    -0.00000 
6    12    0.38218 
6    13    -0.36966 
6    14    0.00970 
6    15    -0.00000 
6    16    0.42540 
6    17    -0.41147 
6    18    0.01080 
MO:7   -0.10827
7    1    -0.18321 
7    2    0.34912 
7    3    0.11788 
7    4    0.11754 
7    5    -0.16484 
7    6    0.58618 
7    7    0.07416 
7    8    0.07395 
